country,admin_1,admin_2,product,planting_year,harvest_year,area,production,yield
Nigeria,Abia,none,Banana,2019,2019,16700.0,138300.0,8.281437125748504
Nigeria,Abia,none,Banana,2020,2020,18800.0,139000.0,7.3936170212765955
Nigeria,Abia,none,Banana,2021,2021,18800.0,139000.0,7.3936170212765955
Nigeria,Abia,none,Cassava,1999,1999,19760.0,346800.0,17.55060728744939
Nigeria,Abia,none,Cassava,2000,2000,14290.0,250000.0,17.49475157452764
Nigeria,Abia,none,Cassava,2001,2001,17000.0,280000.0,16.470588235294116
Nigeria,Abia,none,Cassava,2002,2002,17000.0,280000.0,16.470588235294116
Nigeria,Abia,none,Cassava,2003,2003,18000.0,296000.0,16.444444444444443
Nigeria,Abia,none,Cassava,2004,2004,18140.0,304000.0,16.758544652701215
Nigeria,Abia,none,Cassava,2005,2005,37640.0,633800.0,16.838469713071202
Nigeria,Abia,none,Cassava,2006,2006,37120.0,693400.0,18.67995689655172
Nigeria,Abia,none,Cassava,2007,2007,35550.0,636000.0,17.890295358649787
Nigeria,Abia,none,Cassava,2008,2008,35560.0,648700.0,18.24240719910012
Nigeria,Abia,none,Cassava,2009,2009,41220.0,663340.0,16.092673459485688
Nigeria,Abia,none,Cassava,2010,2010,48610.0,696150.0,14.321127340053486
Nigeria,Abia,none,Cassava,2011,2011,49700.0,701343.0,14.111529175050302
Nigeria,Abia,none,Cassava,2012,2012,50010.0,702093.0,14.039052189562089
Nigeria,Abia,none,Cassava,2013,2013,50200.0,782200.0,15.581673306772908
Nigeria,Abia,none,Cassava,2014,2014,191300.0,1773800.0,9.2723470987977
Nigeria,Abia,none,Cassava,2015,2015,196900.0,1873820.0,9.516607414931435
Nigeria,Abia,none,Cassava,2016,2016,242720.0,1336150.0,5.504902768622281
Nigeria,Abia,none,Cassava,2017,2017,246900.0,1408120.0,5.703199675982179
Nigeria,Abia,none,Cassava,2018,2018,259250.0,1548930.0,5.974657666345227
Nigeria,Abia,none,Cassava,2019,2019,258080.0,1488530.0,5.767707687538748
Nigeria,Abia,none,Cassava,2020,2020,256890.0,1430490.0,5.568492350811631
Nigeria,Abia,none,Cassava,2021,2021,263210.0,1589700.0,6.0396641464989935
Nigeria,Abia,none,Cassava,2022,2022,249856.43,2009281.93,8.041745933854894
Nigeria,Abia,none,Cassava,2023,2023,253979.06,2055262.14,8.092250361112447
Nigeria,Abia,none,Cowpea,1999,1999,20000.0,30000.0,1.5
Nigeria,Abia,none,Cowpea,2000,2000,20000.0,30000.0,1.5
Nigeria,Abia,none,Cowpea,2001,2001,20000.0,30000.0,1.5
Nigeria,Abia,none,Cowpea,2002,2002,20000.0,30000.0,1.5
Nigeria,Abia,none,Cowpea,2003,2003,20000.0,30000.0,1.5
Nigeria,Abia,none,Cowpea,2004,2004,20000.0,30000.0,1.5
Nigeria,Abia,none,Cowpea,2005,2005,30000.0,40000.0,1.3333333333333333
Nigeria,Abia,none,Cowpea,2006,2006,50000.0,40000.0,0.8
Nigeria,Abia,none,Cowpea,2009,2009,45000.0,39000.0,0.8666666666666667
Nigeria,Abia,none,Cowpea,2010,2010,43000.0,38000.0,0.8837209302325582
Nigeria,Abia,none,Cowpea,2011,2011,49690.0,38000.0,0.7647413966592875
Nigeria,Abia,none,Cowpea,2012,2012,51940.0,38000.0,0.7316134000770119
Nigeria,Abia,none,Cowpea,2013,2013,56700.0,68901.0,1.2151851851851851
Nigeria,Abia,none,Cowpea,2014,2014,51000.0,46400.0,0.9098039215686274
Nigeria,Abia,none,Cowpea,2015,2015,53500.0,49460.0,0.9244859813084112
Nigeria,Abia,none,Cowpea,2016,2016,47160.0,42520.0,0.9016115351993216
Nigeria,Abia,none,Cowpea,2017,2017,49230.0,43560.0,0.8848263254113345
Nigeria,Abia,none,Cowpea,2018,2018,47080.0,43560.0,0.9252336448598132
Nigeria,Abia,none,Cowpea,2019,2019,43800.0,43560.0,0.9945205479452056
Nigeria,Abia,none,Cowpea,2020,2020,40690.0,43760.0,1.0754485131481937
Nigeria,Abia,none,Cowpea,2021,2021,44830.0,47330.0,1.05576622797234
Nigeria,Abia,none,Cowpea,2022,2022,39795.67,41602.46,1.0454016730965958
Nigeria,Abia,none,Cowpea,2023,2023,40120.0,44278.5,1.1036515453639082
Nigeria,Abia,none,Groundnuts (In Shell),1999,1999,360.0,300.0,0.8333333333333334
Nigeria,Abia,none,Groundnuts (In Shell),2000,2000,360.0,300.0,0.8333333333333334
Nigeria,Abia,none,Groundnuts (In Shell),2001,2001,340.0,300.0,0.8823529411764706
Nigeria,Abia,none,Groundnuts (In Shell),2002,2002,340.0,300.0,0.8823529411764706
Nigeria,Abia,none,Groundnuts (In Shell),2003,2003,350.0,300.0,0.8571428571428571
Nigeria,Abia,none,Groundnuts (In Shell),2004,2004,350.0,300.0,0.8571428571428571
Nigeria,Abia,none,Groundnuts (In Shell),2005,2005,490.0,400.0,0.8163265306122449
Nigeria,Abia,none,Groundnuts (In Shell),2006,2006,530.0,400.0,0.7547169811320755
Nigeria,Abia,none,Groundnuts (In Shell),2009,2009,1130.0,830.0,0.7345132743362832
Nigeria,Abia,none,Groundnuts (In Shell),2010,2010,9270.0,7210.0,0.7777777777777778
Nigeria,Abia,none,Groundnuts (In Shell),2011,2011,9270.0,7210.0,0.7777777777777778
Nigeria,Abia,none,Groundnuts (In Shell),2012,2012,9270.0,7210.0,0.7777777777777778
Nigeria,Abia,none,Groundnuts (In Shell),2013,2013,9270.0,7200.0,0.7766990291262136
Nigeria,Abia,none,Groundnuts (In Shell),2014,2014,7100.0,8400.0,1.1830985915492958
Nigeria,Abia,none,Groundnuts (In Shell),2015,2015,7200.0,9680.0,1.3444444444444446
Nigeria,Abia,none,Groundnuts (In Shell),2016,2016,9320.0,9860.0,1.05793991416309
Nigeria,Abia,none,Groundnuts (In Shell),2017,2017,9450.0,10020.0,1.0603174603174603
Nigeria,Abia,none,Maize,1999,1999,36870.0,59900.0,1.6246270680770274
Nigeria,Abia,none,Maize,2000,2000,35600.0,59200.0,1.6629213483146068
Nigeria,Abia,none,Maize,2001,2001,37500.0,61000.0,1.6266666666666667
Nigeria,Abia,none,Maize,2002,2002,37500.0,61000.0,1.6266666666666667
Nigeria,Abia,none,Maize,2003,2003,36500.0,58000.0,1.5890410958904109
Nigeria,Abia,none,Maize,2004,2004,36200.0,58000.0,1.6022099447513811
Nigeria,Abia,none,Maize,2005,2005,44280.0,67000.0,1.5130984643179766
Nigeria,Abia,none,Maize,2006,2006,50320.0,73200.0,1.4546899841017489
Nigeria,Abia,none,Maize,2007,2007,55610.0,75200.0,1.3522747707246898
Nigeria,Abia,none,Maize,2008,2008,61000.0,82440.0,1.3514754098360655
Nigeria,Abia,none,Maize,2009,2009,60120.0,72730.0,1.2097471723220226
Nigeria,Abia,none,Maize,2010,2010,69950.0,90500.0,1.2937812723373838
Nigeria,Abia,none,Maize,2011,2011,69270.0,90496.0,1.3064241374332324
Nigeria,Abia,none,Maize,2012,2012,72680.0,90491.0,1.2450605393505778
Nigeria,Abia,none,Maize,2013,2013,77810.0,106500.0,1.3687186736923274
Nigeria,Abia,none,Maize,2014,2014,78600.0,86500.0,1.1005089058524171
Nigeria,Abia,none,Maize,2015,2015,79600.0,92740.0,1.1650753768844222
Nigeria,Abia,none,Maize,2016,2016,68420.0,129560.0,1.8935983630517392
Nigeria,Abia,none,Maize,2017,2017,75460.0,140350.0,1.859925788497217
Nigeria,Abia,none,Maize,2018,2018,74090.0,115390.0,1.5574301525172087
Nigeria,Abia,none,Maize,2019,2019,72960.0,110080.0,1.5087719298245614
Nigeria,Abia,none,Maize,2020,2020,71820.0,105010.0,1.4621275410749095
Nigeria,Abia,none,Maize,2021,2021,78250.0,96620.0,1.2347603833865817
Nigeria,Abia,none,Maize,2022,2022,74082.23,100064.1,1.3507166293455262
Nigeria,Abia,none,Maize,2023,2023,61980.16,85412.35,1.3780595274358762
Nigeria,Abia,none,Melon,1999,1999,12320.0,2460.0,0.1996753246753246
Nigeria,Abia,none,Melon,2000,2000,12570.0,3500.0,0.2784407319013524
Nigeria,Abia,none,Melon,2001,2001,12890.0,4920.0,0.3816912335143522
Nigeria,Abia,none,Melon,2002,2002,14260.0,4590.0,0.3218793828892005
Nigeria,Abia,none,Melon,2003,2003,18410.0,8600.0,0.4671374253123302
Nigeria,Abia,none,Melon,2004,2004,15800.0,7000.0,0.4430379746835443
Nigeria,Abia,none,Melon,2005,2005,34500.0,20700.0,0.6
Nigeria,Abia,none,Melon,2006,2006,35880.0,21300.0,0.5936454849498328
Nigeria,Abia,none,Melon,2008,2008,37940.0,14010.0,0.3692672641012124
Nigeria,Abia,none,Melon,2009,2009,37950.0,14020.0,0.369433465085639
Nigeria,Abia,none,Melon,2010,2010,39650.0,14640.0,0.3692307692307692
Nigeria,Abia,none,Okras,2010,2010,8490.0,19470.0,2.293286219081272
